Type of materials,Sub_type of materials,Functioal group/drug,Abbreviation,Shape,Agglomeration,Zeta potential,Cell_Type,Stimulant,Cellular uptake,Pro_inflammatoary ,Anti_inflammatoary ,Apoptosis,Organism,Gender,Dose times (Single dose/Multiple dose),Administration route,Injury_Model,Biosafety,Recovery,Reference,Unnamed: 27,Size (nm)_min,Size (nm)_max,NPs_Conc (ug/mL)_min,NPs_Conc (ug/mL)_max,Stimulant_Conc(ug/ml)_min,Stimulant_Conc(ug/ml)_max,Age (Weeks)_min,Age (Weeks)_max,Weight (g)_min,Weight (g)_max,Dose_invivo_ (mg/Kg)_min,Dose_invivo_ (mg/Kg)_max
Organic,,,,Sphere,Yes,Positive,,Neurotoxins,,,,,Other Vertebrates,,Multiple ,Other,Brain Disease,Good,Good,Chitosan‑coated probiotic nanoparticles mitigate acrylamide‑induced toxicity in the Drosophila model,10.1038/s41598-024-72200-w,200.0,,1.0,10.0,500.0,,,,,,,
Organic,,,,Non-Sphere,No,,,Drug/metabolic modulators,,,,,Small Rodents,Male,Multiple ,Intraperitoneal,Brain Disease,Good,Good,"Assessment of the Therapeutic Potential of Hesperidin and Quercetin Nanoparticles on Oxidative Stress, Enzyme Activities, Trophic Factors, and Monoamines in an Animal Model of Depression",10.1007/s11064-025-04447-2,10.0,100.0,,,500.0,,,,50.0,,10.0,100.0
Organic,,,,Sphere,No,Positive,Missing,Parkinsonism stimuli,,Low,High,Low,Small Rodents,Male,Multiple ,Intraperitoneal,Brain Disease,Good,Good,Microfluidics‑enabled mesenchymal stem cell‑derived neuron‑like cell membrane‑coated nanoparticles inhibit inflammation and apoptosis for Parkinson’s disease,10.1186/s12951-024-02587-1,200.0,,,,500.0,,5.0,10.0,,,10.0,100.0
Organic,,,,Sphere,No,Positive,Neuronal,Parkinsonism stimuli,,Low,High,Low,,,,,Brain Disease,Good,Good,Microfluidics‑enabled mesenchymal stem cell‑derived neuron‑like cell membrane‑coated nanoparticles inhibit inflammation and apoptosis for Parkinson’s disease,10.1186/s12951-024-02587-1,200.0,,,,500.0,,,,,,,
Organic,,,,Sphere,No,Negative,,,,Low,High,Low,Small Rodents,Male,Multiple ,Intravenous,Brain Injury,Good,Good,Celery seed derived reconstituted lipid nanoparticles as an innate neuron‑targeted neuroprotective nanomedicine for ischemic stroke treatment,10.1186/s12951-025-03372-4,10.0,100.0,,,,,10.0,,1.0,50.0,10.0,100.0
Organic,,,,Sphere,,,Neuronal,Oxidative stress,High,Low,High,Low,,,,,Brain Disease,Good,Good,Small Extracellular Vesicles Secreted by Nigrostriatal Astrocytes Rescue Cell Death and Preserve Mitochondrial Function in Parkinson’s Disease,10.1002/adhm.202201203,10.0,100.0,,,500.0,,,,,,,
Inorganic,Silica Nanoparticles,octysilane functionalized mesoporous,OMSNs,Sphere,No,,,Inflammatory stimuli,,Low,High,,Small Rodents,Female,Single,Other,Spinal Injury,Good,Good,Local Spinal Cord Injury Treatment Using a Dental Pulp Stem Cell Encapsulated H2S Releasing Multifunctional Injectable Hydrogel,10.1002/adhm.202302286,10.0,100.0,,,10.0,100.0,,,50.0,,,
Inorganic,Silica Nanoparticles,octysilane functionalized mesoporous,OMSNs,Sphere,No,,Other,Inflammatory stimuli,,,High,,,,,,Spinal Injury,Good,Good,Local Spinal Cord Injury Treatment Using a Dental Pulp Stem Cell Encapsulated H2S Releasing Multifunctional Injectable Hydrogel,10.1002/adhm.202302286,10.0,100.0,10.0,100.0,10.0,100.0,,,,,,
Organic,,,,Non-Sphere,,,,,,Low,High,,Small Rodents,Male,Multiple ,Intranasal,Brain Disease,Good,Good,Lipid and Transcriptional Regulation in a Parkinson’s Disease Mouse Model by Intranasal Vesicular and Hexosomal Plasmalogen-Based Nanomedicines,10.1002/adhm.202304588,,,,,,,10.0,,,,,
Organic,,,,,No,Negative,,,,Low,High,Low,Small Rodents,Both,Multiple ,Intravenous,Brain Disease,Good,Good,A Novel Brain-Penetrable Nanocarrier Delivers Brain-Derived Neurotrophic Factor to Treat Alzheimer’s Disease,10.1002/adhm.202501648,100.0,200.0,,,,,,,,,0.1,10.0
Organic,,,,Non-Sphere,,,,,,,High,Low,Small Rodents,Male,Multiple ,Other,Brain Disease,Good,Good,Immunosuppressive Formulations for Immunological Defense against Traumatic Brain Injury,10.1002/adhm.202501417,,10.0,,,,,5.0,10.0,,,0.1,10.0
Inorganic,,,,Non-Sphere,No,,,,,Low,High,,Small Rodents,Male,Multiple ,Intraperitoneal,Brain Disease,Good,Good,Myco-fabricated ZnO nanoparticles ameliorate neurotoxicity in mice model of Alzheimer’s disease via acetylcholinesterase inhibition and oxidative stress reduction,10.1007/s10534-023-00525-6,10.0,100.0,,,,,5.0,10.0,1.0,50.0,0.1,10.0
Inorganic,,,,Non-Sphere,Yes,Negative,,,,Low,High,,Small Rodents,,Multiple ,Oral,Brain Disease,Good,Good,Berberine-loaded iron oxide nanoparticles alleviate cuprizone-induced astrocytic reactivity in a rat model of multiple sclerosis,10.1007/s10534-024-00648-4,200.0,,,,,,5.0,10.0,50.0,,10.0,100.0
Inorganic,Calcium Phosphate Nanoparticles,Doxycycline,dx@cap,Sphere,,Positive,,,,,High,,Small Rodents,Male,Multiple ,Intraperitoneal,Brain Disease,Good,Good,Doxycycline-Loaded Calcium Phosphate Nanoparticles with a Pectin,10.1007/s11481-024-10099-w,10.0,100.0,,,,,,,1.0,50.0,10.0,100.0
Organic,,,,,,,,,,Low,,,Small Rodents,Female,Multiple ,Intravenous,Brain Disease,Good,,Coat Can Ameliorate Lipopolysaccharide-Induced Neuroinflammation,10.1038/s12276-024-01388-8,,,,,,,10.0,,1.0,50.0,,
Carbon,,,,Sphere,No,,,,,,High,,Small Rodents,,Multiple ,Intraperitoneal,Brain Disease,Good,Good,Via Enhancing AMPK,10.1186/s12951-021-00908-2,,10.0,,,,,,,50.0,,0.1,10.0
Organic,,,,Sphere,No,Positive,,Inflammatory stimuli,,Low,High,,Small Rodents,Male,Single,Intraperitoneal,Brain Disease,Good,Bad,Melanin-like polydopamine nanoparticles mediating anti-inflammatory and rescuing synaptic loss for inflammatory depression therapy,10.1186/s12951-023-01807-4,200.0,,,,500.0,,5.0,10.0,,,0.1,10.0
Organic,,,,Sphere,No,Positive,Neuronal,Inflammatory stimuli,,Low,High,Low,,,,,Brain Disease,Good,Good,Melanin-like polydopamine nanoparticles mediating anti-inflammatory and rescuing synaptic loss for inflammatory depression therapy,10.1186/s12951-023-01807-4,200.0,,100.0,500.0,500.0,,,,,,,
Inorganic,Cerium Oxide,Nanozyme,COPs,Non-Sphere,,,,,,Low,High,Low,Small Rodents,,Single,Other,Spinal Injury,Good,Good,Neuroimmune modulating and energy supporting nanozyme-mimic scaffold synergistically promotes axon regeneration after spinal cord injury,10.1186/s12951-024-02594-2,10.0,100.0,,,,,,,50.0,,,
Inorganic,Cerium Oxide,Nanozyme,COPs,Non-Sphere,,,Raw246.7,Oxidative stress,High,Low,High,Low,,,,,Spinal Injury,Good,Good,Neuroimmune modulating and energy supporting nanozyme-mimic scaffold synergistically promotes axon regeneration after spinal cord injury,10.1186/s12951-024-02594-2,10.0,100.0,,,,,,,,,,
Organic,,,,Sphere,,,,,High,Low,High,,Small Rodents,,Single,Other,Spinal Injury,Good,Good,Platelet-rich plasma-derived exosomes promote blood-spinal cord barrier repair and attenuate neuroinflammation after spinal cord injury,10.1186/s12951-024-02737-5,100.0,200.0,,,,,,,,,0.1,10.0
Organic,,,,Sphere,,,Primary,Oxidative stress,High,Low,High,,,,,,Spinal Injury,Good,Good,Platelet-rich plasma-derived exosomes promote blood-spinal cord barrier repair and attenuate neuroinflammation after spinal cord injury,10.1186/s12951-024-02737-5,100.0,200.0,,,,,,,,,,
Organic,,,,Non-Sphere,,Negative,,,,Low,High,,Small Rodents,,Multiple ,Other,Brain Disease,Good,Good,Neutrophil membrane-derived nanoparticles protect traumatic brain injury via inhibiting calcium overload and scavenging ROS,10.1186/s12951-024-02753-5,10.0,100.0,,,,,5.0,10.0,,,0.1,10.0
Inorganic,Polydopamine,Caffeic acid,PDA-DSeMSN@CAPE,Sphere,missing,Negative,,,,Low,High,Low,Small Rodents,,Multiple ,Intravenous,Brain Disease,Good,Good,Polydopamine(PDA)-coated diselenide-bridged mesoporous silica-based nanoplatform for neuroprotection by reducing oxidative stress and targeting neuroinflammation in intracerebral hemorrhage,10.1186/s12951-024-03023-0,10.0,100.0,,,,,,,,,0.1,10.0
Hydrogel,,,,,No,Negative,,,,Low,High,,Small Rodents,Male,Multiple ,Other,Spinal Injury,Good,Good,Hydrogel loaded with cerium-manganese nanoparticles and nerve growth factor enhances spinal cord injury repair by modulating immune microenvironment and promoting neuronal regeneration,10.1186/s12951-025-03098-3,10.0,100.0,,,,,5.0,10.0,,,,
Hydrogel,,,,,No,Negative,Neuronal,Oxidative stress,,Low,High,Low,,,,,Spinal Injury,Good,Good,Hydrogel loaded with cerium-manganese nanoparticles and nerve growth factor enhances spinal cord injury repair by modulating immune microenvironment and promoting neuronal regeneration,10.1186/s12951-025-03098-3,10.0,100.0,1.0,10.0,100.0,500.0,,,,,,
Organic,,,,,Yes,Negative,,,,Low,High,Low,Small Rodents,Female,Multiple ,Oral,Spinal Injury,Good,Good,Pectin-Zein-IPA nanoparticles promote functional recovery and alleviate neuroinflammation after spinal cord injury,10.1186/s12951-025-03224-1,200.0,,,,,,,,,,10.0,100.0
Organic,,,,Sphere,No,Negative,,,,Low,High,Low,Small Rodents,Male,Multiple ,Intravenous,Brain Disease,Good,Good,"Responsive nanoparticles synergize with Curcumin to break the “reactive oxygen Species-Neuroinflammation” vicious cycle, enhancing traumatic brain injury outcomes",10.1186/s12951-025-03251-y,100.0,200.0,,,,,0.0,5.0,,,0.1,10.0
Organic,,,,Sphere,,Negative,,,,Low,High,Low,Small Rodents,Male,Multiple ,Intravenous,Brain Injury,Good,Good,Brain targeted lipid nanoparticles with Hv1 inhibitors alleviate neuroinflammation post-ischemic stroke,10.1186/s12951-025-03540-6,100.0,200.0,,,,,,,1.0,50.0,0.1,10.0
Organic,,,,Sphere,No,Negative,,Ischemia models,,Low,High,Low,Small Rodents,Both,Multiple ,Intravenous,Brain Disease,Good,Good,Blood-brain barrier-penetrating Angiopep-2/Sirtuin 1 nanoparticles rescue sevoflurane neurotoxicity through multi-omics identified necroptosis pathways,10.1186/s12951-025-03639-w,100.0,200.0,,,,,10.0,,1.0,50.0,0.1,10.0
Hydrogel,,,,Sphere,No,Negative,,,,Low,High,Low,Small Rodents,Male,Single,Other,Brain Disease,Good,Good,Intraoperative application of an antioxidant nanoparticle-hydrogel targeting microglia regulates neuroinflammation in traumatic brain injury,10.1186/s12951-025-03682-7,100.0,200.0,,,,,5.0,10.0,,,,
Hydrogel,,,,Sphere,No,,,,,Low,High,Low,Small Rodents,Male,Multiple ,Other,Brain Disease,Good,Good,Injectable nanocomposite hydrogel for localized precision delivery of dexamethasone after traumatic brain injury: dual modulation of neuroinflammation and blood–brain barrier restoration,10.1186/s12967-025-06528-w,100.0,200.0,,,,,,,50.0,,10.0,100.0
Inorganic,,,,,,,,,,Low,High,Low,Small Rodents,Both,Multiple ,Intraperitoneal,Brain Disease,Good,Good,Nanoligomers targeting NF-κB and NLRP3 reduce neuroinflammation and improve cognitive function with aging and tauopathy,10.1186/s12974-024-03182-9,,,,,,,10.0,,,,100.0,500.0
Other,,,,Non-Sphere,,,,,,High,,,Small Rodents,Male,Multiple ,Intranasal,Brain Injury,,Bad,Polycyclic aromatic hydrocarbons in urban particle matter exacerbate movement disorder after ischemic stroke via potentiation of neuroinflammation,10.1186/s12989-023-00517-x,,,,,,,0.0,5.0,1.0,50.0,0.1,10.0
Inorganic,,,,Non-Sphere,,Positive,,,,Low,High,Low,Small Rodents,Male,Multiple ,Intravenous,Brain Disease,Good,Good,Chiral metal-organic frameworks incorporating nanozymes as neuroinflammation inhibitors for managing Parkinson’s disease,10.1038/s41467-023-43870-3,100.0,200.0,,,,,0.0,5.0,,,0.1,10.0
Inorganic,,,,Non-Sphere,Yes,,,,,High,Low,High,Small Rodents,Male,Multiple ,Oral,Brain Disease,Good,Good,The protective effects of chitosan and curcumin nanoparticles against the hydroxyapatite nanoparticles-induced neurotoxicity in rats,10.1038/s41598-024-70794-9,100.0,200.0,,,,,,,,,,
Organic,,,,Sphere,,Negative,,Inflammatory stimuli,,Low,High,,Small Rodents,Male,Multiple ,Intranasal,Brain Disease,Good,Good,Evaluation of the neuroprotective potential of optimized intranasal polydopamine nanoparticles in a lipopolysaccharide-induced rat model for Alzheimer’s disease management,10.1038/s41598-025-22844-z,10.0,100.0,,,,,,,50.0,,0.1,10.0
Inorganic,,,,Non-Sphere,,,,,,Low,High,,Small Rodents,,Multiple ,Other,Brain Disease,Good,Good,Facet-Dependent Biodegradable Mn3O4 Nanoparticles for Ameliorating Parkinson’s Disease,10.1002/adhm.202101316,200.0,,,,,,0.0,5.0,,,10.0,100.0
Inorganic,,,,Non-Sphere,,,Neuronal,Parkinsonism stimuli,High,,Low,High,,,,,Brain Disease,Good,Good,Facet-Dependent Biodegradable Mn3O4 Nanoparticles for Ameliorating Parkinson’s Disease,10.1002/adhm.202101316,200.0,,,,500.0,,,,,,,
Hydrogel,,,,,,,,,,Low,High,Low,Small Rodents,,Multiple ,,Spinal Injury,Good,Good,"Rationally Designed, Self-Assembling, Multifunctional Hydrogel Depot Repairs Severe Spinal Cord Injury",10.1002/adhm.202100242,100.0,200.0,,,,,5.0,10.0,50.0,,0.1,10.0
Inorganic,,,,Non-Sphere,,,,,High,High,,High,Other Vertebrates,,Single,Other,Brain Disease,Bad,Bad,"Evaluation of neurotoxicity and the role of oxidative stress of cobalt nanoparticles, titanium dioxide nanoparticles, and multiwall carbon nanotubes in Caenorhabditis elegans",10.1093/toxsci/kfad084,,,,,,,,,,,0.1,10.0
Carbon,,,,Sphere,No,,,Inflammatory stimuli,High,High,High,Low,Small Rodents,Male,Single,Intravenous,Brain Disease,Bad,Bad,Changes in neurotransmitter levels and proinflammatory cytokine mRNA expressions in the mice olfactory bulb following nanoparticle exposure,10.1016/j.taap.2007.09.009,10.0,100.0,,,10.0,100.0,,,,,0.1,10.0
Inorganic,,,,Sphere,No,Positive,,Inflammatory stimuli,High,High,High,,Fish,Both,Multiple ,,Brain Disease,Bad,Bad,The downregulation of TREM2 exacerbates toxicity of development and neurobehavior induced by aluminum chloride and nano-alumina in adult zebrafish,10.1016/j.taap.2024.117107,10.0,100.0,,,,,10.0,,,,10.0,100.0
Other,,,,Non-Sphere,Yes,Negative,Primary,,High,High,,High,,,Multiple ,,Brain Disease,Bad,,Assessing the neurotoxicity of airborne nano-scale particulate matter in human iPSC-derived neurons using a transcriptomics benchmark dose model,10.1016/j.taap.2022.116109,,,100.0,500.0,,,,,,,,
Inorganic,,,,Non-Sphere,,,Glial,Neurotoxins,,,Low,High,,,,,Brain Disease,,Good,Understanding the toxicity induced by radiation-triggered neuroinflammation and the on-demand design of targeted peptide nanodrugs,10.1038/s41392-025-02375-9,,,,,,,,,,,,
Inorganic,,,,Non-Sphere,,,,,,Low,High,Low,Fish,Both,Multiple ,,Brain Disease,,Good,Understanding the toxicity induced by radiation-triggered neuroinflammation and the on-demand design of targeted peptide nanodrugs,10.1038/s41392-025-02375-9,,,,,,,,,,,,
Inorganic,,,,Sphere,No,,,,,,,High,Small Rodents,,,,Brain Disease,Bad,Bad,Dextran-coated iron oxide nanoparticle-induced nanotoxicity in neuron cultures,10.1038/s41598-020-67724-w,,,,,,,,,,,10.0,100.0
Inorganic,,,,Sphere,No,,Primary,,High,,,High,Small Rodents,,,,Brain Disease,Bad,Bad,Dextran-coated iron oxide nanoparticle-induced nanotoxicity in neuron cultures,10.1038/s41598-020-67724-w,,,10.0,100.0,,,,,,,,
Organic,,,,Sphere,Yes,,,,High,,,,Large Mammals,Both,,,Brain Disease,Bad,Bad,Association of Aβ with ceramide-enriched astrosomes mediates Aβ neurotoxicity,10.1186/s40478-020-00931-8,10.0,100.0,,,,,,,,,,
Organic,,,,Sphere,Yes,,Neuronal,,,High,,High,Large Mammals,,,,Brain Disease,Bad,Bad,Association of Aβ with ceramide-enriched astrosomes mediates Aβ neurotoxicity,10.1186/s40478-020-00931-8,10.0,100.0,10.0,100.0,,,,,,,,
Inorganic,,,,Non-Sphere,Yes,,,Neurotoxins,High,High,,,Small Rodents,Both,Multiple ,Other,Brain Disease,,Bad,The potential involvement of inhaled iron (Fe) in the neurotoxic effects of ultrafine particulate matter air pollution exposure on brain development in mice,10.1186/s12989-022-00496-5,,,,,500.0,,0.0,5.0,1.0,50.0,0.1,10.0
Organic,,,,Sphere,No,,,,,High,,High,Small Rodents,Female,Multiple ,Oral,Brain Disease,Bad,Bad,Maternal exposure to nanopolystyrene induces neurotoxicity in offspring through P53-mediated ferritinophagy and ferroptosis in the rat hippocampus,10.1186/s12951-024-02911-9,10.0,100.0,,,,,,,,,0.1,10.0
Organic,,,,Sphere,No,,Primary,,,High,,High,,,,,Brain Disease,,,Maternal exposure to nanopolystyrene induces neurotoxicity in offspring through P53-mediated ferritinophagy and ferroptosis in the rat hippocampus,10.1186/s12951-024-02911-9,10.0,100.0,,,,,,,,,,
Carbon,,,,Sphere,,,,,High,High,Low,High,Small Rodents,Male,Multiple ,Intranasal,Brain Disease,Bad,,The discovery of regional neurotoxicity-associated metabolic alterations induced by carbon quantum dots in brain of mice using a spatial metabolomics analysis,10.1186/s12989-024-00580-y,,,,,,,,,,,0.1,10.0
Organic,,,,Sphere,No,Negative,Neuronal,,,,,,Small Rodents,Male,,,Brain Disease,,,Polystyrene nanoplastics exposure induces cognitive impairment in mice via induction of oxidative stress and ERK/MAPK-mediated neuronal cuproptosis,10.1186/s12989-025-00633-w,10.0,100.0,,,,,5.0,10.0,1.0,50.0,,
Organic,,,,Sphere,No,Negative,,,,,Low,High,,,Multiple ,Oral,Brain Disease,Bad,Bad,Polystyrene nanoplastics exposure induces cognitive impairment in mice via induction of oxidative stress and ERK/MAPK-mediated neuronal cuproptosis,10.1186/s12989-025-00633-w,10.0,100.0,,,,,,,,,10.0,100.0
Inorganic,,,,,,,,,,,,High,Small Rodents,Male,Multiple ,Intraperitoneal,Brain Disease,,Good,Impact of nano silver composite structure on cadmium neurotoxicity in albino rats,10.1186/s13765-022-00738-2,10.0,100.0,,,,,,,,,10.0,100.0
Organic,,,,Non-Sphere,,,Primary,Inflammatory stimuli,High,High,,High,,,Multiple ,,Brain Disease,Bad,Bad,Cathepsin L-containing exosomes from α-synuclein-activated microglia induce neurotoxicity through the P2X7 receptor,10.1038/s41531-022-00394-9,,,,,100.0,500.0,,,,,,
Organic,,,,,,,Neuronal,Neurotoxins,High,,High,,Other Vertebrates,,,,Brain Disease,Good,Low,Evaluation of the toxicity and efficacy of a multi-target polymer-drug nano-polyplex in SH-SY5Y cells and Drosophila model of tauopathy,10.1038/s41598-025-22924-0,10.0,100.0,,,10.0,100.0,,,,,,
Organic,,,,,,,,,,,Low,High,Other Vertebrates,Both,Multiple ,Other,Brain Disease,Bad,Bad,Evaluation of the toxicity and efficacy of a multi-target polymer-drug nano-polyplex in SH-SY5Y cells and Drosophila model of tauopathy,10.1038/s41598-025-22924-0,10.0,100.0,,,10.0,100.0,,,,,,
Organic,,,,Sphere,,,Neuronal,Neurotoxins,High,,,Low,,,,,Brain Disease,Bad,Bad,Effect of nano- and micro-polystyrene particles on small intestinal epithelial functions and enteric neuronal activity in vitro,10.1186/s43591-025-00110-3,200.0,,,,100.0,500.0,,,,,,
Inorganic,,,,,,,,,,High,,Low,Small Rodents,Male,Single,Other,Brain Disease,Bad,,Pulmonary Exposure to Copper Oxide Nanoparticles Leads to Neurotoxicity via Oxidative Damage and Mitochondrial Dysfunction,10.1007/s12640-021-00358-6,,,,,,,10.0,,1.0,50.0,0.1,10.0
Organic,,,,,,,,,,High,,,Fish,,Multiple ,Other,Brain Disease,Bad,Bad,"Nanoplastics Cause Neurobehavioral Impairments, Reproductive and Oxidative Damages, and Biomarker Responses in Zebrafish: Throwing up Alarms of Wide Spread Health Risk of Exposure",10.3390/ijms21041410,10.0,100.0,,,,,10.0,,1.0,50.0,0.1,10.0
Organic,,,,,,Negative,,,,,,,Small Rodents,,Multiple ,Intravenous,Brain Disease,Bad,,Polystyrene nanoplastics exposure caused defective neural tube morphogenesis through caveolae-mediated endocytosis and faulty apoptosis,10.1080/17435390.2021.1930228,200.0,,,,,,5.0,10.0,1.0,50.0,0.1,10.0
Organic,,,,,,Negative,Neuronal,,High,High,,High,,,,,Brain Disease,Bad,,Polystyrene nanoplastics exposure caused defective neural tube morphogenesis through caveolae-mediated endocytosis and faulty apoptosis,10.1080/17435390.2021.1930228,200.0,,10.0,100.0,,,,,,,,
Inorganic,,,,,,,,,,,,High,Small Rodents,,Multiple ,,Brain Disease,Bad,,Zinc oxide nanoparticles induces cell death and consequently leading to incomplete neural tube closure through oxidative stress during embryogenesis,10.1007/s10565-024-09894-1,,,,,,,,,,,,
Inorganic,,,,,,,Neuronal,,,,,High,,,,,Brain Disease,Bad,,Zinc oxide nanoparticles induces cell death and consequently leading to incomplete neural tube closure through oxidative stress during embryogenesis,10.1007/s10565-024-09894-1,,,,,,,,,,,,
Carbon,,,,,,,,,,,,,Small Rodents,,Multiple ,Oral,Brain Disease,Bad,Bad,Assessment of neurobehavioral and histopathological impacts of graphene quantum Dots in NMRI mice,10.1038/s41598-025-08807-4,,,,,,,5.0,10.0,1.0,50.0,10.0,100.0
Inorganic,,,,Non-Sphere,,,,,,High,,High,Small Rodents,Male,,Intraperitoneal,Brain Disease,Bad,Bad,Neurotoxicity induced by zinc oxide nanoparticles: age-related differences and interaction,10.1038/srep16117,10.0,100.0,,,,,10.0,,1.0,50.0,0.1,10.0
Organic,,,,Sphere,No,Negative,Neuronal,Neurotoxins,High,,,High,,,,,Brain Disease,Bad,Bad,Polystyrene nanoplastic exposure induces excessive mitophagy by activating AMPK/ULK1 pathway in differentiated SH-SY5Y cells and dopaminergic neurons in vivo,https://doi.org/10.1186/s12989-023-00556-4,10.0,100.0,100.0,500.0,,,,,1.0,50.0,,
Organic,,,,Sphere,No,Negative,,,,,,,Small Rodents,Male,Multiple ,Oral,Brain Disease,Bad,Bad,Polystyrene nanoplastic exposure induces excessive mitophagy by activating AMPK/ULK1 pathway in differentiated SH-SY5Y cells and dopaminergic neurons in vivo,https://doi.org/10.1186/s12989-023-00556-4,10.0,100.0,,,,,,,1.0,50.0,100.0,500.0
Inorganic,,,,,Yes,Negative,,,,Low,,High,Fish,,Multiple ,Other,Brain Disease,Bad,Bad,Effect of titanium dioxide nanoparticles on the bioavailability and neurotoxicity of cypermethrin in zebrafish larvae,10.1016/j.aquatox.2018.03.022,,10.0,,,,,,,,,0.1,10.0
Carbon,,,,Non-Sphere,,,,,,,,,Fish,,Multiple ,Other,Brain Disease,Bad,Bad,Carboxyl graphene oxide nanoparticles induce neurodevelopmental defects and locomotor disorders in zebrafish larvae,10.1016/j.chemosphere.2020.128611,200.0,,,,,,,,,,10.0,100.0
Organic,,,,Non-Sphere,,,,,,High,,,Other Vertebrates,,Multiple ,Other,Brain Disease,Bad,,Secondary brain injury after polystyrene microplastic-induced intracerebral hemorrhage is associated with inflammation and pyroptosis,10.1016/j.cbi.2022.110180,200.0,,,,,,5.0,10.0,,,,
